S.No.|marca modelo|año fabricacion|kilometros|tipo combustible|transmisión|tipo de dueño|rendimiento|motor|potencia|asientos|precio venta
2984|Maruti Ritz LXi|2016|12000|Petroleo|Manual|Primer|18.5 kmpl|1197 CC|85.80 bhp|5.0|3650.0
2985|Ford EcoSport 1.5 TDCi Trend|2016|46727|Diesel|Manual|Primer|22.77 kmpl|1498 CC|98.59 bhp|5.0|7250.0
2986|BMW 3 Series 320d|2010|73336|Diesel|Automatico|Primer|13.2 kmpl|1995 CC|170 bhp|5.0|10690.0
2987|Hyundai Verna 1.6 SX VTVT|2014|9000|Petroleo|Manual|Segundo|17.01 kmpl|1591 CC|121.3 bhp|5.0|5500.0
2988|Toyota Innova 2.5 G4 Diesel 8-seater|2005|240000|Diesel|Manual|Cuarto o más|12.8 kmpl|2494 CC|102 bhp|8.0|5100.0
2989|Maruti Wagon R LXI|2014|25422|Petroleo|Manual|Primer|22.5 kmpl|998 CC|67.04 bhp|5.0|3250.0
2990|Maruti Ertiga VDI|2018|14000|Diesel|Manual|Primer|25.47 kmpl|1248 CC|88.50 bhp|7.0|9250.0
2991|Maruti Alto LXi BSIII|2008|66000|Petroleo|Manual|Primer|19.7 kmpl|796 CC|46.3 bhp|5.0|1700.0
2992|Maruti A-Star Vxi|2010|55324|Petroleo|Manual|Primer|19.0 kmpl|998 CC|66.1 bhp|5.0|2870.0
2993|BMW X5 3.0d|2009|90000|Diesel|Automatico|Primer|11.0 kmpl|2993 CC|235 bhp|5.0|17750.0
2994|Mahindra KUV 100 G80 K6 Plus 5Str|2017|43000|Petroleo|Manual|Primer|18.15 kmpl|1198 CC|82 bhp|5.0|4500.0
2995|Hyundai i10 Magna AT|2008|58483|Petroleo|Automatico|Segundo|19.2 kmpl|1197 CC|80 bhp|5.0|2950.0
2996|Honda Civic 2006-2010 1.8 S AT|2007|93000|Petroleo|Automatico|Segundo|12.9 kmpl|1799 CC|130 bhp|5.0|2600.0
2997|Hyundai i10 Sportz 1.2|2010|50000|Petroleo|Manual|Primer|20.36 kmpl|1197 CC|78.9 bhp|5.0|3000.0
2998|Mercedes-Benz New C-Class C 220 CDI Elegance AT|2014|78616|Diesel|Automatico|Segundo|14.84 kmpl|2143 CC|170 bhp|5.0|15500.0
2999|Toyota Etios G|2011|37000|Petroleo|Manual|Primer|17.6 kmpl|1496 CC|88.73 bhp|5.0|2800.0
3000|Honda City 1.5 E MT|2010|54801|Petroleo|Manual|Primer|17.0 kmpl|1497 CC|118 bhp|5.0|2500.0
3001|Maruti Swift Dzire VDI|2014|29000|Diesel|Manual|Primer|23.4 kmpl|1248 CC|74 bhp|5.0|5750.0
3002|Maruti Swift VXI|2010|68000|Petroleo|Manual|Primer|22.0 kmpl|1197 CC|81.80 bhp|5.0|2800.0
3003|Hyundai Verna 1.6 EX VTVT|2014|58000|Petroleo|Manual|Primer|17.01 kmpl|1591 CC|121.3 bhp|5.0|4590.0
3004|Maruti Ritz VDi|2012|64290|Diesel|Manual|Primer|23.2 kmpl|1248 CC|73.94 bhp|5.0|3650.0
3005|Toyota Fortuner 4x2 Manual|2015|31000|Diesel|Manual|Primer|13.0 kmpl|2982 CC|168.5 bhp|7.0|19850.0
3006|Jeep Compass 2.0 Limited|2018|16039|Diesel|Manual|Primer|17.1 kmpl|1956 CC|170 bhp|5.0|18500.0
3007|Hyundai i20 Asta Option 1.2|2017|19860|Petroleo|Manual|Primer|18.6 kmpl|1197 CC|81.83 bhp|5.0|6950.0
3008|Maruti Wagon R LXI GNC|2014|48500|GNC|Manual|Segundo|26.6 kmpl|998 CC|58.16 bhp|5.0|2850.0
3009|Tata New Safari DICOR 2.2 EX 4x4 BS IV|2012|75391|Diesel|Manual|Primer|13.93 kmpl|2179 CC|138 bhp|7.0|3750.0
3010|Maruti Swift Dzire LDi|2008|78000|Diesel|Manual|Segundo|19.3 kmpl|1248 CC|73.9 bhp|5.0|2300.0
3011|Tata Indigo eCS eLS BS IV|2016|78000|Diesel|Manual|Primer|25.0 kmpl|1396 CC|69.01 bhp|5.0|2300.0
3012|Maruti Swift LDI|2016|52000|Diesel|Manual|Primer|28.4 kmpl|1248 CC|74 bhp|5.0|5950.0
3013|Maruti Celerio VXI AT|2016|30000|Petroleo|Automatico|Primer|23.1 kmpl|998 CC|67.04 bhp|5.0|3490.0
3014|BMW 5 Series 2013-2017 530d M Sport|2016|19254|Diesel|Automatico|Primer|14.69 kmpl|2993 CC|258 bhp|5.0|47700.0
3015|Volkswagen Polo 1.2 MPI Highline|2015|29651|Petroleo|Manual|Primer|16.47 kmpl|1198 CC|74 bhp|5.0|6430.0
3016|Tata Safari DICOR 2.2 LX 4x2|2011|80000|Diesel|Manual|Primer|13.93 kmpl|2179 CC|138.03 bhp|7.0|4500.0
3017|Mini-Cooper S Carbon Edition|2018|2971|Petroleo|Automatico|Primer|13.6 kmpl|1598 CC|181 bhp|4.0|39750.0
3018|Ford Figo Petrol Titanium|2015|21400|Petroleo|Manual|Primer|15.6 kmpl|1196 CC|70 bhp|5.0|4000.0
3019|Honda City i DTEC V|2015|77000|Diesel|Manual|Primer|26.0 kmpl|1498 CC|98.6 bhp|5.0|6980.0
3020|Hyundai Tucson CRDi|2006|80000|Diesel|Manual|Segundo|12.6 kmpl|1991 CC|112 bhp|7.0|1750.0
3021|Skoda Laura Ambiente 2.0 TDI CR MT|2013|81755|Diesel|Manual|Primer|20.0 kmpl|1968 CC|108.5 bhp|5.0|4750.0
3022|Toyota Fortuner 3.0 Diesel|2016|99593|Diesel|Manual|Primer|11.5 kmpl|2982 CC|171 bhp|7.0|23500.0
3023|Hyundai Verna 1.6 SX|2014|39791|Diesel|Manual|Primer|22.32 kmpl|1582 CC|126.32 bhp|5.0|7490.0
3024|Mahindra XUV500 W6 2WD|2015|113000|Diesel|Manual|Primer|15.1 kmpl|2179 CC|140 bhp|7.0|10850.0
3025|Renault KWID RXT|2017|24000|Petroleo|Manual|Primer|25.17 kmpl|799 CC|53.3 bhp|5.0|3500.0
3026|Hyundai i20 Asta 1.2|2015|39000|Petroleo|Manual|Segundo|18.6 kmpl|1197 CC|81.83 bhp|5.0|6300.0
3027|Honda City V AT|2012|37000|Petroleo|Automatico|Primer|15.6 kmpl|1497 CC|116.3 bhp|5.0|6750.0
3028|Ford Endeavour 3.2 Titanium AT 4X4|2017|61108|Diesel|Automatico|Primer|10.91 kmpl|3198 CC|197 bhp|7.0|28880.0
3029|Skoda Superb Elegance 1.8 TSI AT|2016|61648|Petroleo|Automatico|Primer|13.7 kmpl|1798 CC|157.75 bhp|5.0|14230.0
3030|BMW 3 Series 320d Sport|2012|37000|Diesel|Automatico|Tercer|22.69 kmpl|1995 CC|190 bhp|5.0|15000.0
3031|Maruti Ertiga VXI GNC|2013|53000|GNC|Manual|Primer|22.8 kmpl|1373 CC|80.9 bhp|7.0|5800.0
3032|Maruti Ritz LDi|2013|65000|Diesel|Manual|Primer|23.2 kmpl|1248 CC|73.94 bhp|5.0|3750.0
3033|Hyundai Santro Xing XP|2005|120000|Petroleo|Manual|Primer|0.0 kmpl|1086 CC|null bhp|5.0|1150.0
3034|Toyota Fortuner 3.0 Diesel|2011|148009|Diesel|Manual|Segundo|11.5 kmpl|2982 CC|171 bhp|7.0|12750.0
3035|Maruti Swift Lxi BSIII|2009|53001|Petroleo|Manual|Primer|16.1 kmpl|1298 CC|88.2 bhp|5.0|1950.0
3036|Tata Tigor 1.2 Revotron XT|2018|22345|Petroleo|Manual|Primer|20.3 kmpl|1199 CC|84 bhp|5.0|4950.0
3037|Honda City i VTEC CVT VX|2015|50000|Petroleo|Automatico|Primer|18.0 kmpl|1497 CC|117.3 bhp|5.0|8250.0
3038|BMW 3 Series 320d|2013|48183|Diesel|Automatico|Primer|13.2 kmpl|1995 CC|170 bhp|5.0|20990.0
3039|Mercedes-Benz E-Class 2009-2013 E250 CDI Blue Efficiency|2010|93000|Diesel|Automatico|Segundo|14.21 kmpl|2143 CC|203 bhp|5.0|17500.0
3040|Maruti Swift VDI|2015|53500|Diesel|Manual|Primer|28.4 kmpl|1248 CC|74 bhp|5.0|5360.0
3041|Maruti Ertiga VXI|2014|17585|Petroleo|Manual|Primer|16.02 kmpl|1373 CC|93.7 bhp|7.0|6350.0
3042|Hyundai Verna 1.6 VTVT|2011|36226|Petroleo|Manual|Primer|17.01 kmpl|1591 CC|121.3 bhp|5.0|2950.0
3043|Land Rover Discovery Sport TD4 HSE|2019|25899|Diesel|Automatico|Primer|12.63 kmpl|2179 CC|147.5 bhp|5.0|55700.0
3044|Hyundai Santro Xing GL|2009|60170|Petroleo|Manual|Primer|0.0 kmpl|1086 CC|62 bhp|5.0|1150.0
3045|Mercedes-Benz New C-Class C 220 CDI Style|2017|11200|Diesel|Automatico|Primer|19.27 kmpl|2143 CC|167.62 bhp|5.0|37500.0
3046|Hyundai i10 Magna 1.2|2017|49045|Petroleo|Manual|Primer|20.36 kmpl|1197 CC|78.9 bhp|5.0|4070.000000000001
3047|Volkswagen Polo Diesel Comfortline 1.2L|2012|45000|Diesel|Manual|Primer|22.07 kmpl|1199 CC|73.9 bhp|5.0|2990.0
3048|Maruti Vitara Brezza VDi Option|2017|40000|Diesel|Manual|Primer|24.3 kmpl|1248 CC|88.5 bhp|5.0|7900.0
3049|Renault Duster 85PS Diesel RxL|2016|36600|Diesel|Manual|Primer|19.87 kmpl|1461 CC|83.8 bhp|5.0|7490.0
3050|Tata Indica Vista Aqua 1.3 Quadrajet|2009|117000|Diesel|Manual|Primer|18.0 kmpl|1248 CC|75 bhp|5.0|1100.0
3051|Mercedes-Benz GL-Class 350 CDI Blue Efficiency|2016|16000|Diesel|Automatico|Primer|11.3 kmpl|2987 CC|254.8 bhp|7.0|56000.0
3052|Hyundai Xcent 1.2 CRDi S|2016|50000|Diesel|Manual|Primer|25.4 kmpl|1186 CC|73.97 bhp|5.0|3500.0
3053|Hyundai Verna CRDi SX ABS|2008|150000|Diesel|Manual|Primer|18.1 kmpl|1493 CC|110 bhp|5.0|3000.0
3054|Hyundai Verna 1.6 SX VTVT|2014|11000|Petroleo|Manual|Primer|17.01 kmpl|1591 CC|121.3 bhp|5.0|6100.0
3055|Ford Figo Petrol ZXI|2010|102016|Petroleo|Manual|Primer|15.6 kmpl|1196 CC|70 bhp|5.0|2250.0
3056|Maruti Swift VDI Optional|2016|38000|Diesel|Manual|Primer|25.2 kmpl|1248 CC|74 bhp|5.0|5950.0
3057|Renault Pulse RxL|2013|71491|Diesel|Manual|Primer|23.08 kmpl|1461 CC|63.12 bhp|5.0|4950.0
3058|Volkswagen Polo 1.2 MPI Highline|2015|46354|Petroleo|Manual|Segundo|16.47 kmpl|1198 CC|74 bhp|5.0|5490.0
3059|BMW 3 Series 320d Luxury Line|2019|87000|Diesel|Automatico|Primer|22.69 kmpl|1995 CC|190 bhp|5.0|6670.0
3060|Skoda Rapid 1.6 MPI Active|2015|20765|Petroleo|Manual|Primer|15.0 kmpl|1598 CC|103.52 bhp|5.0|6250.0
3061|Hyundai Santro GS|2005|58000|Petroleo|Manual|Segundo|0.0 kmpl|999 CC|null bhp|5.0|1510.0
3062|Audi Q7 3.0 TDI Quattro Premium Plus|2014|51076|Diesel|Automatico|Primer|12.07 kmpl|2967 CC|241.4 bhp|7.0|34880.0
3063|Maruti Ciaz VDi Plus|2016|84085|Diesel|Manual|Primer|26.21 kmpl|1248 CC|88.5 bhp|5.0|6900.0
3064|Honda City i DTEC VX|2014|55000|Diesel|Manual|Primer|25.1 kmpl|1498 CC|98.6 bhp|5.0|5990.0
3065|Mercedes-Benz E-Class 2009-2013 E350 Petrol|2010|73000|Petroleo|Automatico|Primer|10.93 kmpl|3498 CC|272 bhp|5.0|10400.0
3066|Audi A6 2011-2015 3.0 TDI Quattro Premium Plus|2012|50001|Diesel|Automatico|Primer|14.57 kmpl|2967 CC|241.38 bhp|5.0|29000.0
3067|Mahindra Xylo H4|2016|93166|Diesel|Manual|Segundo|14.02 kmpl|2179 CC|118.3 bhp|7.0|5850.0
3068|Honda City 1.5 EXI AT|2006|99583|Petroleo|Automatico|Tercer|12.0 kmpl|1493 CC|100 bhp|5.0|2210.0
3069|Maruti SX4 ZXI MT BSIV|2010|72000|Petroleo|Manual|Primer|15.5 kmpl|1586 CC|103.3 bhp|5.0|2400.0
3070|Toyota Corolla Altis G|2009|70000|Petroleo|Manual|Tercer|14.53 kmpl|1798 CC|138.1 bhp|5.0|3000.0
3071|Volkswagen Vento Petrol Highline AT|2012|61000|Petroleo|Automatico|Segundo|14.4 kmpl|1598 CC|103.6 bhp|5.0|3750.0
3072|Hyundai EON Era Plus|2015|66510|Petroleo|Manual|Primer|21.1 kmpl|814 CC|55.2 bhp|5.0|2950.0
3073|Skoda Laura Ambition 2.0 TDI CR MT|2011|84062|Diesel|Manual|Primer|20.0 kmpl|1968 CC|108.5 bhp|5.0|5800.0
3074|Maruti Swift VDI|2012|80799|Diesel|Manual|Primer|22.9 kmpl|1248 CC|74 bhp|5.0|4900.0
3075|Toyota Corolla Altis 1.8 VL CVT|2018|5000|Petroleo|Automatico|Primer|14.28 kmpl|1798 CC|138.03 bhp|5.0|16950.0
3076|Toyota Innova 2.5 G (Diesel) 8 Seater|2013|92000|Diesel|Manual|Primer|12.99 kmpl|2494 CC|100 bhp|8.0|12500.0
3077|Tata Tiago Wizz 1.05 Revotorq|2017|53000|Diesel|Manual|Primer|27.28 kmpl|1047 CC|69 bhp|5.0|5000.0
3078|Skoda Rapid 1.6 MPI Ambition|2015|39822|Petroleo|Manual|Primer|15.41 kmpl|1598 CC|103.52 bhp|5.0|4680.0
3079|Ford Endeavour 3.2 Titanium AT 4X4|2016|29000|Diesel|Automatico|Primer|10.91 kmpl|3198 CC|197 bhp|7.0|29800.0
3080|Renault KWID RXL|2017|24214|Petroleo|Manual|Segundo|25.17 kmpl|799 CC|53.3 bhp|5.0|3460.0
3081|Hyundai i20 1.4 Asta CRDi with AVN|2012|75000|Diesel|Manual|Primer|23.0 kmpl|1396 CC|90 bhp|5.0|4000.0
3082|Skoda Laura Ambiente|2012|77216|Diesel|Manual|Segundo|17.5 kmpl|1896 CC|106 bhp|5.0|4500.0
3083|Toyota Corolla Altis Diesel D4DG|2013|74290|Diesel|Manual|Primer|21.43 kmpl|1364 CC|87.2 bhp|5.0|5870.0
3084|Mahindra Scorpio S8 8 Seater|2015|61000|Diesel|Manual|Primer|15.4 kmpl|2179 CC|120 bhp|8.0|9500.0
3085|Audi Q5 2.0 TDI Premium Plus|2013|44000|Diesel|Automatico|Primer|14.16 kmpl|1968 CC|174.3 bhp|5.0|32500.0
3086|Chevrolet Enjoy TCDi LS 8 Seater|2014|74041|Diesel|Manual|Primer|18.2 kmpl|1248 CC|73.8 bhp|8.0|3880.0
3087|BMW 3 Series 320d|2013|85846|Diesel|Automatico|Primer|22.69 kmpl|1995 CC|190 bhp|5.0|13080.0
3088|Nissan Sunny 2011-2014 Diesel XV|2012|52000|Diesel|Manual|Primer|21.64 kmpl|1461 CC|84.8 bhp|5.0|3500.0
3089|Honda Accord 2.4 MT|2010|47000|Petroleo|Manual|Segundo|12.8 kmpl|2354 CC|177.6 bhp|5.0|3500.0
3090|Hyundai Verna CRDi|2010|72010|Diesel|Manual|Primer|16.8 kmpl|1493 CC|110 bhp|5.0|4450.0
3091|Maruti Omni E MPI STD BS IV|2015|15000|Petroleo|Manual|Primer|16.8 kmpl|796 CC|34.2 bhp|8.0|2350.0
3092|Honda City i VTEC SV|2015|480000|Petroleo|Manual|Primer|17.4 kmpl|1497 CC|117.3 bhp|5.0|5000.0
3093|Audi A7 2011-2015 Sportback|2012|24720|Diesel|Automatico|Segundo|0.0 kmpl|2967 CC|241.4 bhp|5.0|28000.0
3094|Ford Fiesta 1.4 ZXi Leather|2007|75000|Petroleo|Manual|Segundo|16.6 kmpl|1388 CC|68 bhp|5.0|2000.0
3095|Hyundai i20 1.4 Asta|2015|57000|Diesel|Manual|Primer|22.54 kmpl|1396 CC|88.73 bhp|5.0|6350.0
3096|Mercedes-Benz E-Class E250 CDI Avantgrade|2015|41057|Diesel|Automatico|Primer|13.0 kmpl|2143 CC|201.1 bhp|5.0|24630.0
3097|Maruti Wagon R LXI GNC|2012|92000|GNC|Manual|Segundo|26.2 kmpl|998 CC|58.2 bhp|5.0|3000.0
3098|Ford EcoSport 1.5 TDCi Trend Plus|2016|20000|Diesel|Manual|Primer|22.77 kmpl|1498 CC|98.59 bhp|5.0|7900.0
3099|Hyundai i20 1.2 Magna|2011|52359|Petroleo|Manual|Primer|18.5 kmpl|1197 CC|80 bhp|5.0|3250.0
3100|Honda City i VTEC V|2016|17000|Petroleo|Manual|Segundo|17.8 kmpl|1497 CC|117.3 bhp|5.0|8250.0
3101|Nissan Micra Diesel XV|2011|39002|Diesel|Manual|Primer|23.08 kmpl|1461 CC|63.1 bhp|5.0|2850.0
3102|Ford Figo Diesel EXI|2010|129986|Diesel|Manual|Segundo|20.0 kmpl|1399 CC|68 bhp|5.0|3200.0
3103|Nissan Micra XL|2013|45000|Petroleo|Manual|Primer|18.44 kmpl|1198 CC|75 bhp|5.0|1750.0
3104|Maruti Swift VDI BSIV|2013|41300|Diesel|Manual|Primer|17.8 kmpl|1248 CC|null bhp|5.0|3380.0
3105|Honda Accord 2.4 MT|2009|82002|Petroleo|Manual|Segundo|12.8 kmpl|2354 CC|177.6 bhp|5.0|5750.0
3106|Skoda Superb Elegance 1.8 TSI AT|2010|67000|Petroleo|Automatico|Primer|13.7 kmpl|1798 CC|157.75 bhp|5.0|4700.0
3107|Maruti Omni 8 Seater BSIV|2017|21260|Petroleo|Manual|Primer|14.0 kmpl|796 CC|35 bhp|5.0|2900.0
3108|Hyundai i20 Magna Optional 1.4 CRDi|2012|55362|Diesel|Manual|Primer|21.9 kmpl|1396 CC|88.8 bhp|5.0|4250.0
3109|Hyundai Creta 1.6 CRDi AT SX Plus|2017|13000|Diesel|Automatico|Primer|17.01 kmpl|1582 CC|126.2 bhp|5.0|14500.0
3110|Maruti Swift VDI BSIV|2016|45725|Diesel|Manual|Primer|25.2 kmpl|1248 CC|74 bhp|5.0|5340.0
3111|Maruti Swift LDI BSIV|2014|105000|Diesel|Manual|Primer|25.2 kmpl|1248 CC|74 bhp|5.0|3850.0
3112|Toyota Innova 2.5 G (Diesel) 8 Seater BS IV|2009|156056|Diesel|Manual|Primer|12.8 kmpl|2494 CC|102 bhp|8.0|8500.0
3113|Hyundai Xcent 1.1 CRDi Base|2016|135000|Diesel|Manual|Primer|24.4 kmpl|1120 CC|71 bhp|5.0|4200.0
3114|Maruti Ertiga Paseo VDI|2016|67000|Diesel|Manual|Primer|20.77 kmpl|1248 CC|88.7 bhp|7.0|6750.0
3115|Ford Endeavour 3.2 Trend AT 4X4|2016|90000|Diesel|Automatico|Primer|10.91 kmpl|3198 CC|197.2 bhp|7.0|26000.0
3116|Hyundai i20 1.4 Sportz|2019|32251|Diesel|Manual|Primer|22.54 kmpl|1396 CC|88.73 bhp|5.0|8610.0
3117|Maruti Zen Estilo LXI BS IV|2009|47000|Petroleo|Manual|Primer|19.0 kmpl|998 CC|67.1 bhp|5.0|1460.0
3118|Maruti Ritz VDi|2011|75308|Diesel|Manual|Segundo|21.1 kmpl|1248 CC|73.9 bhp|5.0|2800.0
3119|Maruti Alto K10 LXI GNC Optional|2018|44202|GNC|Manual|Primer|32.26 kmpl|998 CC|58.2 bhp|4.0|4000.0
3120|Honda City 1.5 S MT|2014|58000|Petroleo|Manual|Primer|17.0 kmpl|1497 CC|118 bhp|5.0|5470.0
3121|Maruti Swift Dzire ZXi|2009|60000|Petroleo|Manual|Primer|17.5 kmpl|1298 CC|85.8 bhp|5.0|2450.0
3122|BMW X1 sDrive 20d Sportline|2014|45000|Diesel|Automatico|Primer|17.05 kmpl|1995 CC|184 bhp|5.0|21500.0
3123|Tata Manza Aqua Safire|2010|41195|Petroleo|Manual|Primer|15.0 kmpl|1368 CC|90 bhp|5.0|1380.0
3124|Mahindra XUV500 W10 2WD|2016|89000|Diesel|Manual|Primer|16.0 kmpl|2179 CC|140 bhp|7.0|13500.0
3125|Hyundai i10 Sportz AT|2009|60510|Petroleo|Automatico|Segundo|16.95 kmpl|1197 CC|78.9 bhp|5.0|3100.0
3126|Maruti Baleno Sigma 1.2|2016|8500|Petroleo|Manual|Primer|21.4 kmpl|1197 CC|83.1 bhp|5.0|5490.0
3127|Maruti Vitara Brezza ZDi Plus Dual Tone|2017|35981|Diesel|Manual|Primer|24.3 kmpl|1248 CC|88.5 bhp|5.0|9510.0
3128|Ford Figo Petrol ZXI|2012|23152|Petroleo|Manual|Primer|15.6 kmpl|1196 CC|70.02 bhp|5.0|2390.0
3129|Maruti Wagon R GNC LXI|2014|74663|GNC|Manual|Primer|33.54 kmpl|998 CC|67.04 bhp|5.0|3250.0
3130|Volkswagen Vento Sport 1.2 TSI AT|2014|61529|Petroleo|Automatico|Primer|18.19 kmpl|1197 CC|103.5 bhp|5.0|5650.0
3131|Mahindra Xylo D2 BS III|2010|91596|Diesel|Manual|Primer|14.95 kmpl|2489 CC|93.7 bhp|7.0|1850.0
3132|Porsche Cayenne Base|2019|14298|Petroleo|Automatico|Primer|13.33 kmpl|2995 CC|340 bhp|5.0|2020.0
3133|Maruti Swift Dzire VDi|2013|83327|Diesel|Manual|Primer|19.3 kmpl|1248 CC|73.9 bhp|5.0|5800.0
3134|Volkswagen Polo 1.2 MPI Highline Plus|2017|22857|Petroleo|Manual|Primer|16.2 kmpl|1199 CC|74 bhp|5.0|6900.0
3135|Hyundai Verna 1.6 VTVT|2013|34620|Petroleo|Manual|Segundo|17.01 kmpl|1591 CC|121.3 bhp|5.0|5350.0
3136|Hyundai i10 Era 1.1|2010|56000|Petroleo|Manual|Primer|19.81 kmpl|1086 CC|68.05 bhp|5.0|2850.0
3137|Mercedes-Benz E-Class E250 CDI Launch Edition|2014|81000|Diesel|Automatico|Primer|13.0 kmpl|2143 CC|204 bhp|5.0|22750.0
3138|Maruti Zen LXI|1998|95150|Petroleo|Manual|Tercer|17.3 kmpl|993 CC|60 bhp|5.0|450.0
3139|Hyundai i10 Sportz|2013|32776|Petroleo|Manual|Primer|20.36 kmpl|1197 CC|78.9 bhp|5.0|4640.0
3140|Honda Amaze S i-Dtech|2016|51587|Diesel|Manual|Primer|25.8 kmpl|1498 CC|98.6 bhp|5.0|5270.0
3141|Tata Safari Storme VX|2016|36000|Diesel|Manual|Primer|14.1 kmpl|2179 CC|148 bhp|7.0|10000.0
3142|Honda Brio 1.2 S MT|2015|22000|Petroleo|Manual|Primer|18.5 kmpl|1198 CC|86.8 bhp|5.0|3950.0
3143|Hyundai i20 Asta|2010|30754|Petroleo|Manual|Primer|17.0 kmpl|1197 CC|80 bhp|5.0|3380.0
3144|Volkswagen Jetta 2012-2014 1.4 TSI|2018|37109|Petroleo|Manual|Primer|14.69 kmpl|1390 CC|120.33 bhp|5.0|16800.0
3145|Honda Jazz Select Edition|2010|45000|Petroleo|Manual|Primer|16.7 kmpl|1198 CC|88.8 bhp|5.0|1990.0
3146|Hyundai Grand i10 Sportz|2017|33284|Petroleo|Manual|Primer|18.9 kmpl|1197 CC|82 bhp|5.0|5840.0
3147|Jaguar XF Diesel|2016|55115|Diesel|Automatico|Primer|14.74 kmpl|2993 CC|270.9 bhp|5.0|36150.0
3148|Jaguar XF 2.2 Litre Luxury|2014|18000|Diesel|Automatico|Primer|16.36 kmpl|2179 CC|187.7 bhp|5.0|25700.0
3149|Mahindra XUV500 W8 2WD|2013|130790|Diesel|Manual|Primer|16.0 kmpl|2179 CC|140 bhp|7.0|9240.0
3150|Maruti S Cross DDiS 320 Alpha|2015|16607|Diesel|Manual|Primer|22.7 kmpl|1598 CC|118 bhp|5.0|7650.0
3151|Audi A4 2.0 TDI 177 Bhp Premium Plus|2015|32205|Diesel|Automatico|Primer|17.11 kmpl|1968 CC|174.33 bhp|5.0|25310.0
3152|Renault Duster 110PS Diesel RxZ|2013|67000|Diesel|Manual|Primer|19.01 kmpl|1461 CC|108.45 bhp|5.0|4750.0
3153|Maruti Swift Dzire VXI|2014|57676|Petroleo|Manual|Primer|19.1 kmpl|1197 CC|85.8 bhp|5.0|6690.0
3154|Volkswagen Polo Petrol Trendline 1.2L|2012|41000|Petroleo|Manual|Primer|16.47 kmpl|1198 CC|73.9 bhp|5.0|3100.0
3155|Maruti Omni 8 Seater BSII|2012|65000|Petroleo|Manual|Primer|19.7 kmpl|796 CC|35 bhp|8.0|1550.0
3156|Hyundai Grand i10 1.2 Kappa Magna AT|2019|12153|Petroleo|Automatico|Primer|18.9 kmpl|1197 CC|81.86 bhp|5.0|6840.0
3157|Tata Nano Twist XT|2014|16810|Petroleo|Manual|Primer|25.4 kmpl|624 CC|37.5 bhp|4.0|1600.0
3158|Audi A4 30 TFSI Premium Plus|2017|61221|Petroleo|Automatico|Primer|17.84 kmpl|1395 CC|147.51 bhp|5.0|21730.0
3159|Volkswagen Polo 1.2 MPI Highline|2015|22000|Petroleo|Manual|Primer|16.47 kmpl|1198 CC|74 bhp|5.0|4750.0
3160|Maruti Alto 800 LXI|2015|63714|Petroleo|Manual|Primer|22.74 kmpl|796 CC|47.3 bhp|5.0|2450.0
3161|Mini-Cooper 5 DOOR D|2019|14857|Diesel|Automatico|Primer|20.7 kmpl|1496 CC|113.98 bhp|5.0|31550.0
3162|Audi A4 New 2.0 TDI Multitronic|2012|69000|Diesel|Automatico|Segundo|15.2 kmpl|1968 CC|140.8 bhp|5.0|10250.0
3163|Ford Endeavour Titanium 4X2|2019|14648|Diesel|Manual|Primer|12.62 kmpl|2198 CC|158 bhp|7.0|27360.0
3164|Ford Ecosport 1.5 Ti VCT MT Titanium|2013|100000|Petroleo|Manual|Segundo|15.8 kmpl|1499 CC|110 bhp|5.0|6500.0
3165|Hyundai Grand i10 Magna|2016|22000|Petroleo|Manual|Primer|18.9 kmpl|1197 CC|82 bhp|5.0|4250.0
3166|Chevrolet Sail 1.2 LS|2014|10000|Petroleo|Manual|Primer|18.2 kmpl|1199 CC|82.4 bhp|5.0|5500.0
3167|Maruti Swift Dzire LXI|2015|107000|Petroleo|Manual|Primer|20.85 kmpl|1197 CC|83.14 bhp|5.0|4000.0
3168|Tata Zest Revotron 1.2T XM|2017|48198|Petroleo|Manual|Primer|17.57 kmpl|1193 CC|88.7 bhp|5.0|4650.0
3169|Mercedes-Benz New C-Class C 220 CDI Avantgarde|2015|15000|Diesel|Automatico|Primer|19.27 kmpl|2143 CC|170 bhp|5.0|28500.0
3170|Chevrolet Cruze LTZ|2014|80073|Diesel|Manual|Primer|17.3 kmpl|1998 CC|163.7 bhp|5.0|7110.0
3171|Maruti Ritz VDi|2013|85388|Diesel|Manual|Primer|21.1 kmpl|1248 CC|73.9 bhp|5.0|3900.0
3172|Hyundai Grand i10 1.2 Kappa Sportz Option|2017|14700|Petroleo|Manual|Primer|18.9 kmpl|1197 CC|81.86 bhp|5.0|5600.0
3173|Maruti Dzire LDI|2012|150000|Diesel|Manual|Tercer|28.4 kmpl|1248 CC|73.75 bhp|5.0|2250.0
3174|Hyundai Verna 1.6 SX|2011|34994|Diesel|Manual|Primer|22.32 kmpl|1582 CC|126.32 bhp|5.0|3900.0
3175|Jaguar XF Diesel|2014|82536|Diesel|Automatico|Primer|14.74 kmpl|2993 CC|270.9 bhp|5.0|28630.0
3176|Skoda Superb Elegance 1.8 TSI AT|2013|82000|Petroleo|Automatico|Primer|13.7 kmpl|1798 CC|157.75 bhp|5.0|7250.0
3177|Maruti Wagon R LXI|2006|52000|Petroleo|Manual|Segundo|18.9 kmpl|998 CC|67.1 bhp|5.0|2000.0
